codigo_departamento;nombre_departamento;codigo_municipio;nombre_municipio;codigo_postal;tipo;limite_norte;limite_sur;limite_este;limite_oeste;longitud_centroide;latitud_centroide;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal
95;GUAVIARE;95200;MIRAFLORES;952,009;Rural;RÍO VAUPÉS;MPIO. SOLANO Y PACOA;MUNICIPIO CARURU;CAÑO MACAYARI;-71-982733929529;0-984399417908776;Sin Informacion de Barrios;Los Medios
15;BOYACA;15761;SOMONDOCO;153,037;Rural;MPIO. SUTATENZA Y GARAGOA;MUNICIPIO GUAYATÁ;MUNICIPIO ALMEIDA;MPIO. GUATEQUE Y GUAYATÁ;-73-4286617532953;4-96940998788904;Sin Informacion de Barrios;Barreras- Bohórquez-  Canos-  Cobavita-  Cucuavaca-  Pancupa-  Resguardo-  San Antonio
50;META;50223;CUBARRAL;506,007;Rural;MUNICIPIO GUAMAL;MPIO. EL CASTILLO Y EL DORADO;MUNICIPIO SAN MARTÍN;RÍO AZUL- ARIARI Y GRANDE;-73-8833198714959;3-80156069735818;Sin Informacion de Barrios;Aguas Claras- El Central-  Mesa Redonda-  Montecristo-  Rio Azul-  Rio Grande-  San Pedro-  Santa Teresa-  Sierra Morena-  Villa Luz
52;NARIÑO;52399;LA UNION;521,528;Rural;MPIO. MERCADERES Y FLORENCIA;VÍA LA UNIÓN-SAN PA. Y M. COLÓN;MUNICIPIO SAN PABLO;VÍA LA UNIÓN-MERCADERES;-77-1108698611686;1-64397578885757;Sin Informacion de Barrios;Cimarronas- El Llano-  Las Lajas
41;HUILA;41396;LA PLATA;415,068;Rural;M. INZÁ Y PÁEZ;VÍA LA PLATA-ALTO CAÑADA;VÍA LA PLATA-ARANZAZU;MUNICIPIO INZÁ;-75-9626796905849;2-42554054623349;Sin Informacion de Barrios;ALTO CAÑADA- ALTO GETZEN-  ALTO PATICO-  ALTO SAN FRANCISCO-  BETANIA-  EL CARMELO-  EL CERRITO-  LA ESPERANZA-  LA ESTRELLA-  LA MURALLA-  LAS MERCEDES-  LOS ANGELES-  SAN FRANCISCO-  SAN JUAN
68;SANTANDER;68318;GUACA;681,048;Rural;MUNICIPIO SANTA BARBARA;MPIO. SAN ANDRES Y CEPITÁ;VÍA SAN ANDRES-SANTA BARBARA;MUNICIPIO PIEDECUESTA;-72-8897344393943;6-85329789852329;Sin Informacion de Barrios;Piedra Abajo- Río Negro
15;BOYACA;15778;SUTATENZA;153,067;Rural;MUNICIPIO TENZA;MPIO. SOMONDOCO;MUNICIPIO GARAGOA;MUNICIPIO GUATEQUE;-73-4335610086851;5-02640548757489;Sin Informacion de Barrios;Sin Informacion de Veredas
5;ANTIOQUIA;05129;CALDAS;55,440;Urbano;CL  107  Y  M. LA ESTRELLA;LIMITE URBANO;LIMITE URBANO  Y  RIO MEDELLIN;LIMITE URBANO;-75-6349024583624;6-0928402855352;Sin Informacion de Barrios;La Corrala
15;BOYACA;15232;CHIQUIZA;154,027;Rural;MUNICIPIO ARCABUCO;M. SORA Y SACHICA;MUNICIPIO MOTAVITA;MUNICIPIO VILLA DE LEYVA;-73-4456633757172;5-64274232054339;Sin Informacion de Barrios;Arrayán y Canales- Casa Blanca-  Chone-  Quebrada Honda-  Salitre-  Sote Panelas
18;CAQUETA;18592;PUERTO RICO;182,058;Rural;RÍO NEMAL- GUAYAS Y M. SAN V. DEL CA.;MPIO. EL DONCELLO Y RÍO (PERMANENTE);MPIO. SAN VI. DEL CAGUÁN;MUNICIPIO EL DONCELLO;-75-1085671169812;1-91212667801369;Sin Informacion de Barrios;Sin Informacion de Veredas
15;BOYACA;15403;LA UVITA;150,867;Rural;MUNICIPIO SAN MATEO;MUNICIPIO JERICO;M. EL COCUY Y CHITA;MUNICIPIO BOAVITA;-72-5547891417653;6-26655424911945;Sin Informacion de Barrios;Cabecera Municipal- Cabuyal-  Carmelo-  Centro-  Cusagui-  El Carmen-  El Hatico-  Lagunilla-  Melona-  Ochaca-  Peñulla-  San Antonio-  San Ignacio-  San Jose-  Vargas
76;VALLE DEL CAUCA;76606;RESTREPO;760,540;Urbano;CL 27;CL 2;KR 2;KR 21;-76-5207877207413;3-82535864538221;Sin Informacion de Barrios;El Agrado
27;CHOCO;27075;BAHIA SOLANO;276,037;Rural;M. JURADÓ- RIOSUCIO Y CARMÉN DEL DARIEN;QUEBRADA MECANA;MUNICIPIO BOJAYÁ;OCÉANO PACÍFICO;-77-3609403297531;6-51942310362671;Sin Informacion de Barrios;Piñita
11;BOGOTA- D.C.;11001;LOCALIDAD SAN CRISTOBAL;110,411;Urbano;AC 1;CL 20 S;LIMITE URBANO;AK 10;-74-0557565187279;4-5606394568926;Aguas Claras- Buenos Aires- Calvo Sur- El Triángulo- Hoya San Cristóbal- La María- Las Brisas- Los Laureles I- Modelo Sur- Molino Rural- Molinos de Oriente- Monte Carlo- Nariño Sur- Primero de Mayo- Quinta Ramos- San Cristóbal Sur- San Javier- Santa Ana S;Sin Informacion de Veredas
27;CHOCO;27615;RIOSUCIO;277,010;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-76-7144676287854;7-37149535217446;Sin Informacion de Barrios;Sin Informacion de Veredas
54;NORTE DE SANTANDER;54874;VILLA DEL ROSARIO;541,038;Rural;M. CÚCUTA Y PAÍS VENEZUELA;MUNICIPIO RAGONVALIA;PAÍS VENEZUELA;MUNICIPIO LOS PATIOS;-72-495994093929;7-67941325754464;Sin Informacion de Barrios;20 de Julio- El Helechal-  La Mutis
5;ANTIOQUIA;05266;ENVIGADO;55,422;Urbano;CL 18 S Y 19 S;CL  50 S;CL 26B S - KR 43A S;AU SUR;-75-5905168672338;6-17363181828512;Alcalá- Bosques de Zúñiga- Bucarest- Centro- El Portal- Jardínes- La Magnolia- La Primavera- La Santa Cruz- Las Casitas- Las Vegas- Milán Vallejuelos- Obrero- Pontevedra- San Marcos- Villagrande;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76001;CALI;760,013;Urbano;AK SUR ORIENTAL;AC ORIENTAL;TV 29  Y  AC ORIENTAL;CL  26 Y 25;-76-5143382970283;3-42322812186728;20 de Julio- Aguablanca- El Jardín- El Prado- El Recuerdo- José Holguín Garcés- José María Córdoba- La Esperanza- La Fortaleza- La Gran Colombia- La Independencia- León XIII- Los Conquistadores- Los Sauces- Maracaibo- Prados de Oriente- Primavera- San Ben;Sin Informacion de Veredas
68;SANTANDER;68669;SAN ANDRES;682,009;Rural;MUNICIPIO GUACA;RÍO (PERMANENTE);VÍA GUACA - PANGOTE;MUNICIPIO CEPITÁ;-72-8703153003382;6-78558641654365;Sin Informacion de Barrios;Potrero Grande- San Andres
54;NORTE DE SANTANDER;54003;ABREGO;546,077;Rural;MPIO. HACARÍ Y LA PLAYA;RÍO OROQUE- TARRA Y VÍA OCAÑA-CÚCUTA;M. VILLACARO- BUCARASICA Y SARDINATA;MUNICIPIO OCAÑA;-73-1042240508231;8-14912117161833;Sin Informacion de Barrios;Alto El Pozo- Buenos Aires-  Ciénaga-  El Arado-  El Espejo-  El Remolino-  El Silencio-  El Soltadero-  Fracción Pávez-  Hoyo Pilón-  La Aguada-  La Arenosa-  La Labranza-  La Sierra-  La Teja-  La Trocha-  La Urama-  Las Indias-  Las Vegas-  Loma de Tar
52;NARIÑO;52699;SANTACRUZ;525,577;Rural;LOMA LA ORQUETA Y RELIEVE M.;MUNICIPIO SAPUYES;RÍO (PERMA.)- Q. EL SALADO Y M. TUQ.;MUNICIPIO MALLAMA;-77-7286262317484;1-20332439647342;Sin Informacion de Barrios;La Cienaga- Potrerillos Azufral
54;NORTE DE SANTANDER;54001;CUCUTA;540,013;Urbano;AK AEROPUERTO;AU. ATALAYA;AK  0;LIMITE URBANO;-72-5260649684748;7-92477827970345;Buenos Aires- Claret- Comuneros- La Hermita- La Laguna- Motilones- Ospina Pérez- Tucunare;Sin Informacion de Veredas
25;CUNDINAMARCA;25488;NILO;252,401;Urbano;LIMITE URBANO;LIMITE URBANO;CL 1;CL 11;-74-6202414386033;4-30676326145027;Sin Informacion de Barrios;Sin Informacion de Veredas
15;BOYACA;15491;NOBSA;152,288;Rural;MUNICIPOIO FLORESTA;MUNICIPIO MONGUI;MUNICIPIO CORRALES;RÍO (PERMANENTE);-72-8988417329288;5-78190070805852;Sin Informacion de Barrios;Sin Informacion de Veredas
13;BOLIVAR;13300;HATILLO DE LOBA;133,049;Rural;MPIO. SAN FERNANDO;MUNICIPIO PILNILLOS;MUNICIPIO MARGARITA;MUNICIPIO PINILLOS;-74-357006586962;8-99173666289221;Sin Informacion de Barrios;Sin Informacion de Veredas
20;CESAR;20614;RIO DE ORO;205,047;Rural;MUNICIPIO OCAÑA Y EL CARMEN;VÍA AGUACHI.-OCAÑA Y Q/DA. PERALONSO;MUNICIPIO OCAÑA;MUNICIPIO AGUACHICA;-73-4514999001396;8-28619690235496;Sin Informacion de Barrios;Sin Informacion de Veredas
94;GUAINIA;94888;MORICHAL;943,058;Rural;RÍO INÍRIDA Y CAÑO MICO;MUNICIPIO PANA PANA;MUNICIPIO PANA PANA;MPIO. EL RETORNO Y PAPUNAUA;-69-7910676906578;2-17857144993695;Sin Informacion de Barrios;Sin Informacion de Veredas
68;SANTANDER;68432;MALAGA;682,018;Rural;VÍA MALAGA - CONCEPCIÓN;MPIO. SAN JOSE DE MIRANDA;MPIO. CONCEPCIÓN Y ENCISO;LIM. URB. Y M. SAN JOSE DE MIRAN.;-72-7170455326959;6-70186290215929;Sin Informacion de Barrios;Sin Informacion de Veredas
5;ANTIOQUIA;05411;LIBORINA;51,467;Rural;SAN ANDRES DE CUERQUIA;MUNICIPIO OLAYA;MUNICIPIO BELMIRA;Q/DA Y RELIVE MONT.;-75-7469296158914;6-72510472914729;Sin Informacion de Barrios;Granadillos- La Ceja-  La Palma-  La Peñola-  Provincial-  San Dieguito-  Cabecera Municipal
5;ANTIOQUIA;05368;JERICO;56,010;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-75-7851330189533;5-79065203398306;Sin Informacion de Barrios;Sin Informacion de Veredas
20;CESAR;20032;ASTREA;201,040;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-73-9747736391051;9-49640732165579;Sin Informacion de Barrios;Sin Informacion de Veredas
15;BOYACA;15531;PAUNA;154,801;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-73-9786389436381;5-65652204852711;Sin Informacion de Barrios;Honda y Volcan
86;PUTUMAYO;86219;COLON;861,047;Rural;MPIO. EL TABLÓN DE GO. Y BUESACO;MUNICIPIO SANTIAGO;MUNICIPIO SIBUNDOY;MUNICIPIO BUESACO;-76-9651647613351;1-23210590646278;Sin Informacion de Barrios;Juandy Alto
8;ATLANTICO;08001;BARRANQUILLA;80,002;Urbano;AC  72;CL  45;M. SITIO NUEVO;KR  38;-74-7879007996144;10-9954422304431;Base Naval- Bellavista- Boston- Colombia- El Prado- Las Delicias- Modelo- Montecristo- Rosario- San Francisco- Santana;Sin Informacion de Veredas
