nombre_comuna;barrio
COMUNA SAN JOAQUIN;BELLO HORIZONTE
COMUNA SAN JOAQUIN;CAMPO ALEGRE
COMUNA SAN JOAQUIN;CIUDADELA COMFAMILIAR I
COMUNA SAN JOAQUIN;CIUDADELA COMFAMILIAR II
COMUNA SAN JOAQUIN;COLDEMAR I
COMUNA SAN JOAQUIN;COLDEMAR II
COMUNA SAN JOAQUIN;COLDEMAR IV
COMUNA SAN JOAQUIN;CORALINA
COMUNA SAN JOAQUIN;EL CARDAL
COMUNA SAN JOAQUIN;EL CRUCERO
COMUNA SAN JOAQUIN;EL EDEN
COMUNA SAN JOAQUIN;EL RECREO
COMUNA SAN JOAQUIN;GIBRALTAR
COMUNA SAN JOAQUIN;GUAYACANES
COMUNA SAN JOAQUIN;JOSE MARIA CORDOBA
COMUNA SAN JOAQUIN;LA ISLA
COMUNA SAN JOAQUIN;LAURELES I
COMUNA SAN JOAQUIN;LAURELES II
COMUNA SAN JOAQUIN;LENINGRADO II
COMUNA SAN JOAQUIN;LENINGRADO III
COMUNA SAN JOAQUIN;LETRAS
COMUNA SAN JOAQUIN;LOS CISNES
COMUNA SAN JOAQUIN;LOS CONQUISTADORES
COMUNA SAN JOAQUIN;LOS GENARIOS
COMUNA SAN JOAQUIN;LOS GIRASOLES
COMUNA SAN JOAQUIN;PERLA DEL SUR
COMUNA SAN JOAQUIN;PLAN CARVAJAL
COMUNA SAN JOAQUIN;PORTAL DE CORALES
COMUNA SAN JOAQUIN;PORTAL DE SAN JOAQUIN I
COMUNA SAN JOAQUIN;PORTAL DE SAN JOAQUIN II
COMUNA SAN JOAQUIN;PORTAL DE BIRMANIA
COMUNA SAN JOAQUIN;RAFAEL URIBE II
COMUNA SAN JOAQUIN;RAFAEL URIBE III
COMUNA SAN JOAQUIN;SAN JOAQUIN
COMUNA SAN JOAQUIN;SAN MARCOS
COMUNA SAN JOAQUIN;SANTA CLARA DE LAS VILLAS
COMUNA SAN JOAQUIN;SANTA JUANA DE LAS VILLAS
COMUNA SAN JOAQUIN;TINAJAS
COMUNA PERLA DEL OTUN;CONSOTA
COMUNA PERLA DEL OTUN;ARANJUEZ
COMUNA PERLA DEL OTUN;CARLOS ALBERTO BENAVIDES
COMUNA PERLA DEL OTUN;DEPARTAMENTO
COMUNA PERLA DEL OTUN;VILLA DEL BOSQUE
COMUNA PERLA DEL OTUN;GAVIRIA TRUJILLO
COMUNA PERLA DEL OTUN;EL PARAISO
COMUNA PERLA DEL OTUN;HEROES I
COMUNA PERLA DEL OTUN;HEROES II
COMUNA PERLA DEL OTUN;INDEPENDIENTES
COMUNA PERLA DEL OTUN;JOSE DIEGO ESCOBAR
COMUNA PERLA DEL OTUN;LA CAMPIãA
COMUNA PERLA DEL OTUN;ALBANIA
COMUNA PERLA DEL OTUN;LA FRANCIA
COMUNA PERLA DEL OTUN;LA POLICIA
COMUNA PERLA DEL OTUN;LOS ALMENDROS
COMUNA PERLA DEL OTUN;METROPOLITANO
COMUNA PERLA DEL OTUN;NEIRA MARQUZ
COMUNA PERLA DEL OTUN;SINAI
COMUNA PERLA DEL OTUN;VILLA KENNEDY
COMUNA PERLA DEL OTUN;VILLA MARIA
COMUNA PERLA DEL OTUN;VILLA ROCIO
COMUNA EL OSO;ALAMEDA
